id,fecha,grupo,hora,equipo1,equipo2,gol1,gol2,resultado
1,21-nov,A,7,SENEGAL,PAISES BAJOS,0,0,-
2,21-nov,B,10,INGLATERRA,IRAN,0,0,-
3,21-nov,A,13,QATAR,ECUADOR,0,0,-
4,21-nov,B,16,EEUU,GALES,0,0,-
5,22-nov,C,7,ARGENTINA,ARABIA SAUDITA,0,0,-
6,22-nov,D,10,DINAMARCA ,TUNEZ,0,0,-
7,22-nov,C,13,MEXICO ,POLONIA,0,0,-
8,22-nov,D,16,FRANCIA,AUSTRALIA,0,0,-
9,23-nov,F,7,MARRUECOS,CROACIA,0,0,-
10,23-nov,E,10,ALEMANIA ,JAPON,0,0,-
11,23-nov,F,13,ESPAÑA,COSTA RICA,0,0,-
12,23-nov,E,16,BELGICA ,CANADA,0,0,-
13,24-nov,G,7,SUIZA,CAMERUN,0,0,-
14,24-nov,H,10,URUGUAY,COREA,0,0,-
15,24-nov,H,13,PORTUGAL ,GHANA,0,0,-
16,24-nov,G,16,BRASIL,SERVIA,0,0,-
17,25-nov,B,7,GALES,IRAN,0,0,-
18,25-nov,A,10,QATAR,SENEGAL,0,0,-
19,25-nov,A,13,PAISES BAJOS,ECUADOR,0,0,-
20,25-nov,B,16,INGLATERRA,EEUU,0,0,-
21,26-nov,D,7,TUNEZ ,AUSTRALIA,0,0,-
22,26-nov,C,10,POLONIA,ARABIA SAUDITA,0,0,-
23,26-nov,D,13,FRANCIA,DINAMARCA,0,0,-
24,26-nov,C,16,ARGENTINA,MEXICO,0,0,-
25,27-nov,E,7,JAPON,COSTA RICA,0,0,-
26,27-nov,F,10,BELGICA ,MARRUECOS,0,0,-
27,27-nov,F,13,CROACIA,CANADA,0,0,-
28,27-nov,E,16,ESPAÑA,ALEMANIA,0,0,-
29,28-nov,G,7,CAMERUN,SERBIA,0,0,-
30,28-nov,H,10,COREA,GHANA,0,0,-
31,28-nov,G,13,BRASIL,SUIZA,0,0,-
32,28-nov,H,16,PORTUGAL ,URUGUAY,0,0,-
33,29-nov,A,12,PAISES BAJOS,QATAR,0,0,-
34,29-nov,A,12,ECUADOR,SENEGAL,0,0,-
35,29-nov,B,16,GALES,INGLATERRA,0,0,-
36,29-nov,B,16,IRAN ,EEUU,0,0,-
37,30-nov,D,12,TUNEZ ,FRANCIA,0,0,-
38,30-nov,D,12,AUSTRALIA,DINAMARCA,0,0,-
39,30-nov,C,16,POLONIA,ARGENTINA,0,0,-
40,30-nov,C,16,ARABIA SAUDITA,MEXICO,0,0,-
41,01-dic,F,12,CROACIA,BELGICA,0,0,-
42,01-dic,F,12,CANADA,MARRUECOS,0,0,-
43,01-dic,E,16,JAPON,ESPAÑA,0,0,-
44,01-dic,E,16,COSTA RICA,ALEMANIA,0,0,-
45,02-dic,H,12,COREA,PORTUGAL,0,0,-
46,02-dic,H,12,GHANA,URUGUAY,0,0,-
47,02-dic,G,16,CAMERUN,BRASIL,0,0,-
48,02-dic,G,16,SERBIA,SUIZA,0,0,-
